movieId,title,user_id,ratings,gener_id,Recommended,Activity_State
1,Toy Story (1995),12,1,9,N,2
2,Jumanji (1995),50,4.5,10,Y,1
3,Grumpier Old Men (1995),40,5,9,Y,2
4,Waiting to Exhale (1995),43,5,4,Y,4
5,Father of the Bride Part II (1995),40,5,10,Y,5
6,Heat (1995),12,4,6,Y,8
7,Sabrina (1995),44,4.5,1,Y,4
8,Tom and Huck (1995),45,5,9,Y,4
9,Sudden Death (1995),33,4,4,Y,2
10,GoldenEye (1995),30,4,1,Y,6
11,"American President, The (1995)",17,5,5,Y,5
12,Dracula: Dead and Loving It (1995),2,5,9,Y,5
13,Balto (1995),9,4,5,Y,6
14,Nixon (1995),50,3.5,4,Y,6
15,Cutthroat Island (1995),50,4,4,Y,7
16,Casino (1995),44,5,1,Y,7
17,Sense and Sensibility (1995),48,5,8,Y,3
18,Four Rooms (1995),17,5,4,Y,7
19,Ace Ventura: When Nature Calls (1995),16,5,1,Y,2
20,Money Train (1995),40,5,7,Y,8
21,Get Shorty (1995),44,2.5,10,N,8
22,Copycat (1995),50,5,8,Y,2
23,Assassins (1995),50,5,10,Y,8
24,Powder (1995),37,5,2,Y,7
25,Leaving Las Vegas (1995),21,0.5,7,N,7
26,Othello (1995),37,4,7,Y,2
27,Now and Then (1995),7,5,10,Y,4
28,Persuasion (1995),45,3,2,Y,4
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",50,3,7,Y,5
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),48,2,7,N,5
31,Dangerous Minds (1995),18,3,2,Y,2
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),38,4,8,Y,1
33,Wings of Courage (1995),37,4,2,Y,5
34,Babe (1995),48,3,8,Y,3
35,Carrington (1995),32,4,5,Y,5
36,Dead Man Walking (1995),34,5,2,Y,2
37,Across the Sea of Time (1995),46,4,3,Y,1
38,It Takes Two (1995),7,4,2,Y,4
39,Clueless (1995),50,4,5,Y,8
40,"Cry, the Beloved Country (1995)",39,4,10,Y,7
41,Richard III (1995),42,3,5,Y,8
42,Dead Presidents (1995),15,3,9,Y,8
43,Restoration (1995),3,1,3,N,1
44,Mortal Kombat (1995),21,1,3,N,6
45,To Die For (1995),24,4,9,Y,8
